#,Timestamp,Hostname,CLD,VAD,LSD,SDI,SPD,ELD,lch_size,zlib_size,zlib_time,lzma_size,lzma_time,bz2_size,bz2_time,gzip_size,gzip_time,cfe_size,commits
13,1679945428,rhel,19915,722205,263,14920,34,89705,52016,10215,0.0015792369995324,9292,0.0631156029994599,10216,0.0059032869994553,10233,0.0014549990009982,107238,3
14,1679945428,ubuntu,20790,1290614,263,20931,34,78679,34140,6429,0.0009432410006411,5972,0.0587942700003623,6603,0.0041116709999187,6447,0.0008764100002736,126178,3
14,1679946328,hub,21451,1324246,1125,20935,34,187969,44431,7819,0.0013201210003899,7244,0.0621782719990733,7826,0.005289377999361,7837,0.0011788520005211,152257,4
15,1679946328,centos,19616,686740,263,10609,34,79573,45169,7824,0.0013847829995938,7244,0.0636869019999721,7738,0.0053770049999002,7842,0.0012112779986637,123222,3
15,1679946328,debian,19529,507541,263,11296,34,79533,46711,8034,0.0014547579994541,7420,0.063472087998889,7857,0.0054300080009852,8052,0.0012982479984202,150707,4
14,1679946328,rhel,19915,722205,263,14920,34,89705,40,41,0.0001665569998294,88,0.0507333719997404,66,7.738000022072811e-05,59,0.0001008809995255,23,3
15,1679946328,ubuntu,20684,1290634,263,20931,34,78703,32529,6016,0.0009752890000527,5624,0.0613796679990628,6252,0.0039845279989094,6034,0.0008728809989406,135074,3
15,1679947228,hub,22706,1523043,1125,20935,34,187787,331219,28368,0.0160421400014456,22684,0.117744543000299,18554,0.0612766679987544,28386,0.0101920790002623,492665,2
16,1679947228,centos,19729,688663,263,10609,34,77665,43406,7706,0.0012407809990691,7116,0.0606047459987166,7631,0.0050911990001623,7724,0.0011402860000089,137585,3
16,1679947228,debian,19688,505039,263,11296,34,79337,43731,7540,0.0013266519999888,6984,0.060460251999757,7413,0.0050586750003276,7558,0.0011814649988082,144242,2
15,1679947228,rhel,19915,722205,263,14920,34,89705,40,39,9.61519999691518e-05,88,0.0501494860000093,64,8.74820016179001e-05,57,0.000106854000478,23,3
16,1679947228,ubuntu,20854,1297276,263,20931,34,78719,43091,7697,0.0012802130004274,7104,0.0602688069993746,7649,0.0051051640002697,7715,0.001130885000748,147305,3
16,1679948128,hub,22570,1519118,1125,20935,34,187753,43423,8059,0.0012943379988428,7460,0.0603867560002981,8140,0.005039059999035,8077,0.0011484420010674,162436,3
17,1679948128,centos,19729,691139,263,10609,34,77730,45181,7612,0.0013310079993971,7068,0.0608392340000136,7449,0.005239011001322,7630,0.0011840739989565,130528,3
17,1679948128,debian,19591,509737,263,11296,34,79571,45406,7797,0.0014058080014365,7248,0.0604216899992025,7710,0.0052595010001823,7815,0.001242092999746,152289,3
16,1679948128,rhel,19915,722205,263,14920,34,89705,40,39,9.290699927078094e-05,88,0.0501278720003028,65,8.237399924837518e-05,57,0.0001032279997161,23,3
17,1679948128,ubuntu,20892,1296303,263,20931,34,79002,40284,7408,0.0012560790000861,6848,0.1065164539995748,7462,0.0052600349990825,7426,0.0010313300008419,125887,3
17,1679949028,hub,21996,1524379,1125,20935,34,187695,43463,7988,0.0013432350006041,7428,0.0604407840000931,8076,0.0049842019998322,8006,0.0011519490017235,137154,3
18,1679949028,centos,19801,685217,263,10609,34,77761,45593,8218,0.0014267930000642,7568,0.0608862100016267,8092,0.0052752079991478,8236,0.0012186389994894,126367,3
18,1679949028,debian,19351,502239,263,11296,34,79721,51450,8921,0.0016135989990289,8188,0.0648596709997946,8695,0.0058229450005455,8939,0.0014170049998938,151342,3
17,1679949028,rhel,19915,722205,263,14920,34,89705,40,39,0.0001318449994869,88,0.0489480739997816,62,7.77100012783194e-05,57,0.0001053720006893,23,3
18,1679949028,ubuntu,20834,1298120,263,20931,34,80882,42061,7216,0.001190872000734,6712,0.0600037989988777,7213,0.0049735659995349,7234,0.0010665809986676,125025,3
18,1679949928,hub,21856,1524664,1125,20935,34,190309,49252,8778,0.0014241080007195,8120,0.062678930000402,8799,0.0058868599990091,8796,0.0013303010000527,156122,3
19,1679949928,centos,19627,682494,263,10609,34,78445,39120,7781,0.0011961230011365,7200,0.0591165730002103,7864,0.0045741590001853,7799,0.0010415749984531,135225,3
19,1679949928,debian,19625,504667,263,11296,34,79704,49632,8574,0.0014711570001963,7904,0.0618078539991984,8431,0.0057135910010401,8592,0.0013231989996711,148451,3
18,1679949928,rhel,19915,722205,263,14920,34,89705,40,38,8.954700024332851e-05,88,0.0488749529995402,64,8.474800051772036e-05,56,0.0001006040001811,23,3
19,1679949928,ubuntu,20879,1296663,263,20931,34,78626,43117,7180,0.0012354950013104,6672,0.0599764029993821,7127,0.0050541399996291,7198,0.001112767999075,120448,3
19,1679950828,hub,21962,1526352,1125,20935,34,187697,47529,8271,0.0013631090005219,7628,0.0613960150003549,8186,0.0054023819993744,8289,0.0012511189997894,137480,3
